iteracao,tempo_execucao,cpu_inicial,cpu_final,mem_usada_inicial,mem_usada_final,mem_vms_inicial,mem_vms_final,cpu_medio_execucao,cpu_max_execucao
1,6.115044593811035,0.0,0.0,0.0772705078125,0.08300018310546875,0.28011322021484375,0.28630828857421875,0.22625850340136056,100.0
2,6.198506116867065,0.0,0.0,0.08300018310546875,0.08355331420898438,0.28630828857421875,0.28682708740234375,0.23244897959183672,100.0
3,6.246703624725342,0.0,0.0,0.08355331420898438,0.08379364013671875,0.28682708740234375,0.2869529724121094,0.1759183673469388,100.0
4,6.465857744216919,0.0,0.0,0.08379364013671875,0.08417892456054688,0.2869529724121094,0.2872772216796875,0.6297959183673469,100.0
5,6.279621362686157,0.0,0.0,0.0823974609375,0.08382415771484375,0.285491943359375,0.2872314453125,0.6082993197278912,100.0
6,6.493996620178223,0.0,0.0,0.08382415771484375,0.08394622802734375,0.2872314453125,0.2872772216796875,0.38115646258503405,100.0
7,6.431542873382568,0.0,0.0,0.08394622802734375,0.08414840698242188,0.2872772216796875,0.2872772216796875,0.31258503401360543,100.0
8,6.360009431838989,0.0,0.0,0.08414840698242188,0.08414077758789062,0.2872772216796875,0.2871818542480469,0.17789115646258502,50.0
9,6.550715446472168,0.0,0.0,0.08414077758789062,0.08251571655273438,0.2871818542480469,0.28545379638671875,0.4489795918367347,100.0
10,6.60283637046814,0.0,0.0,0.08252716064453125,0.0839691162109375,0.2854652404785156,0.2871818542480469,0.1997278911564626,100.0
